title,price,area,bedrooms,bathrooms,location,purpose,type,is_furnished,is_verified,is_negotiable,is_sold,has_payment_plan,rental_frequency,is_monthly,is_yearly,dp_ratio,has_agency,agency_name,price_note,is_hot,is_off_plan,is_ready,has_video,property_id
Furnished Apartment For Sale,83500.0,87,1,1.0,"Wavey Avenue, Erbil",For Sale,sale,1,0,1,0,0,,0,0,0.0,1,Baghy Shaqlawa Real Estate Company - Erbil,(Negotiable),0,0,1,0,83149
Farm for sale with 3000m²,630000.0,3000,8,3.0,"Massif Road, Erbil",For Sale,sale,0,0,1,0,0,,0,0,0.0,1,Baghy Shaqlawa Real Estate Company - Erbil,(Negotiable),0,0,1,0,81659
Furnished Apartment For Sale,95000.0,102,1,1.0,"Empire Diamond, Erbil",For Sale,sale,1,0,1,0,0,,0,0,0.0,1,Divine Real Estate Company,(Negotiable),0,0,1,0,89713
1 Bedroom Apartment in Rami Towers,500.0,105,1,1.0,"Rami Towers, Erbil",For Rent,rent,0,0,0,0,0,monthly,1,0,0.0,1,Golden Properties Company,(Monthly),0,0,1,0,89635
Cozy 2 Bedroom Apartment in Erbil,49000.0,98,2,1.0,"Shari Mamostayan, Erbil",For Sale,sale,0,0,0,0,0,,0,0,0.0,1,Sakan Real Estate Company,,0,0,1,0,77451
Cozy Apartment in Empire Wings,450.0,81,1,1.0,"Empire Wings, Erbil",For Rent,rent,0,0,0,0,0,monthly,1,0,0.0,1,Divine Real Estate Company,(Monthly),0,0,1,0,89703
Spacious 3 Bedroom Apartment in Roya Tower,650.0,200,3,2.0,"Roya Tower, Erbil",For Rent,rent,0,0,1,0,0,monthly,1,0,0.0,1,Baghy Shaqlawa Real Estate Company - Erbil,(Monthly),0,0,1,1,89712
Modern 2-bedroom apartment for rent,700.0,177,2,2.0,"Empire Square, Erbil",For Rent,rent,0,0,0,0,0,monthly,1,0,0.0,1,Divine Real Estate Company,(Monthly),0,0,1,0,89701
Luxurious Family Home in Erbil,900000.0,524,5,5.0,"Erbil Garden, Erbil",For Sale,sale,0,0,0,0,0,,0,0,0.5,1,Jamana Real Estate Company,(Down payment),0,0,1,0,89711
Spacious 3-Bedroom Apartment with Stunning Views,900.0,225,3,3.0,"Rami Towers, Erbil",For Rent,rent,0,0,0,0,0,monthly,1,0,0.0,1,Golden Properties Company,(Monthly),0,0,1,0,89609
Modern 3BR Apartment with Great View,475.0,165,3,2.0,"MRF 5 Towers, Erbil",For Rent,rent,0,0,0,1,0,monthly,1,0,0.0,1,Golden Properties Company,(Monthly),0,0,1,0,88997
Cosy one bedroom apartment in Erbil,500.0,97,1,1.0,"Boulevard, Erbil",For Rent,rent,0,0,0,0,0,monthly,1,0,0.0,1,Golden Properties Company,(Monthly),0,0,1,0,88914
One-Bedroom Apartment with Stunning Views,600.0,86,1,1.0,"Empire Wings, Erbil",For Rent,rent,0,0,0,0,0,monthly,1,0,0.0,1,Lata Domus,(Monthly),0,0,1,0,89696
Cozy Family Home with 5 Bedrooms,320000.0,400,5,4.0,"American Village, Erbil",For Sale,sale,0,0,1,0,0,,0,0,0.0,1,Baghy Shaqlawa Real Estate Company - Erbil,(Negotiable),0,0,1,0,78032
Modern Furnished Apartment in Erbil,950.0,148,3,2.0,"Wavey Avenue, Erbil",For Rent,rent,1,0,1,0,0,monthly,1,0,0.0,1,Baghy Shaqlawa Real Estate Company - Erbil,(Monthly),0,0,1,0,83155
Spacious Apartment in Empire Wings,700.0,186,2,2.0,"Empire Wings, Erbil",For Rent,rent,0,0,0,0,0,monthly,1,0,0.0,1,Divine Real Estate Company,(Monthly),0,0,1,0,89702
New House,260000.0,200,5,4.0,"Shorsh, Erbil",For Sale,sale,0,0,1,0,0,,0,0,0.0,1,On Target Real Estate Company,(Negotiable),0,0,1,0,89707
Two Floor House,85000.0,100,3,2.0,"Nusaran, Erbil",For Sale,sale,0,0,1,0,0,,0,0,0.0,1,Baghy Shaqlawa Real Estate Company - Erbil,(Negotiable),0,0,1,0,80457
Spacious 2-Bedroom Apartment with Stunning Views,550.0,135,2,2.0,"Queen Tower, Erbil",For Rent,rent,0,0,0,0,0,monthly,1,0,0.0,1,Baghy Shaqlawa Real Estate Company - Erbil,(Monthly),0,0,1,0,75374
Furnished Apartment For Rent,675.0,112,2,2.0,"Wavey Avenue, Erbil",For Rent,rent,1,0,1,0,0,monthly,1,0,0.0,1,Baghy Shaqlawa Real Estate Company - Erbil,(Monthly),0,0,1,0,73549
Spacious Farmhouse with Fruit Trees,350000.0,1500,3,4.0,"150m Street, Erbil",For Sale,sale,0,0,1,0,0,,0,0,0.0,1,Mulkdar Real Estate Company,(Negotiable),0,0,1,0,81703
Apartment (64m²),49842.0,64,1,1.0,"Qaiwan Mirador, Erbil",For Sale,sale,0,0,0,0,0,,0,0,0.4,1,Qaiwan Group Company,(Down + Second payment),0,1,0,1,67383
Cozy 2-bedroom apartment for rent,650.0,170,2,2.0,"Roya Tower, Erbil",For Rent,rent,0,0,0,0,0,monthly,1,0,0.0,1,Golden Properties Company,(Monthly),0,0,1,0,89709
"Cozy 2 BR Apartment, Erbil - 105m²",65000.0,105,2,2.0,"Atlantic City, Erbil",For Sale,sale,0,1,0,0,0,,0,0,0.1846,1,The Atlantic,(Down payment),0,0,0,0,84023
Structure For Sale,157500.0,324,0,,"Hiwa City, Erbil",For Sale,sale,0,0,0,0,0,,0,0,0.0,1,Shyaka Alafandy Real Estate Company,,0,0,1,0,89705
Modern Motel 8 floors for Sale,2200000.0,200,17,17.0,"Naz Naz, Erbil",For Sale,sale,0,0,1,0,0,,0,0,0.0,1,Remal Real Estate Company,(Negotiable),0,0,1,0,89226
Spacious Luxury Apartment in Rami Towers,900.0,225,3,2.0,"Rami Towers, Erbil",For Rent,rent,0,0,0,0,0,monthly,1,0,0.0,1,Golden Properties Company,(Monthly),0,0,1,0,89636
Spacious Commercial House in Nusaran,1300.0,400,7,2.0,"Nusaran, Erbil",For Rent,rent,0,0,1,0,0,monthly,1,0,0.0,1,Baghy Shaqlawa Real Estate Company - Erbil,(Monthly),0,0,1,0,80803
Modern Furnished Apartment with Spacious Rooms,550.0,77,1,1.0,"Wavey Avenue, Erbil",For Rent,rent,1,0,0,0,0,monthly,1,0,0.0,1,Baghy Shaqlawa Real Estate Company - Erbil,(Monthly),0,0,1,0,73669
Commercial Building with Market and Apartment,490000.0,200,0,,"Brayaty, Erbil",For Sale,sale,0,0,1,0,0,,0,0,0.0,1,Mulkdar Real Estate Company,(Negotiable),0,0,1,0,75011
Large Family House for Sale,340000.0,400,5,4.0,"Hiwa City, Erbil",For Sale,sale,0,0,1,0,0,,0,0,0.0,1,Mulkdar Real Estate Company,(Negotiable),0,0,1,1,49631
Two Floor House,102500.0,200,4,3.0,"Shari Mamostayan, Erbil",For Sale,sale,0,0,1,0,0,,0,0,0.0,1,Sakan Real Estate Company,(Negotiable),0,0,1,0,77402
Charming House with 4 Bedrooms in Italian Style,500000.0,343,4,4.0,"Italian village 2, Erbil",For Sale,sale,0,0,1,0,0,,0,0,0.0,1,Sirius Real Estate Company,(Negotiable),0,0,1,0,89693
VIP Apartment,650.0,94,1,1.0,"Empire Wings, Erbil",For Rent,rent,0,0,0,0,0,monthly,1,0,0.0,1,Kryar Company Real Estate,(Monthly),0,0,1,0,80583
Spacious House with 4 Bedrooms,1100.0,322,4,4.0,"Aram Village 2, Erbil",For Rent,rent,0,0,1,0,0,monthly,1,0,0.0,1,Lata Domus,(Monthly),0,0,1,0,81244
Two Bedroom Apartment with City Views,600.0,135,2,2.0,"Sky Towers, Erbil",For Rent,rent,0,0,0,0,0,monthly,1,0,0.0,1,Sky Erbil Real Estate Compay,(Monthly),0,0,1,0,89692
Smart Apartment,78520.0,104,1,2.0,"Vana Towers, Erbil",For Sale,sale,0,0,0,0,0,,0,0,0.25,1,Grand View Real Estate Company,(Down payment),0,1,0,0,89691
Apartment in Installment,135000.0,180,2,3.0,"Vana Towers, Erbil",For Sale,sale,0,0,0,0,0,,0,0,0.25,1,Grand View Real Estate Company,(Down payment),0,1,0,0,89688
2 Bed Apartment with Stunning Views,650.0,143,2,3.0,"Sky Towers, Erbil",For Rent,rent,0,0,0,0,0,monthly,1,0,0.0,1,Divine Real Estate Company,(Monthly),0,0,1,0,89687
Spacious 500m² House for Sale,450000.0,500,6,6.0,"Slava City, Erbil",For Sale,sale,0,0,0,0,0,,0,0,0.0,1,Mulkdar Real Estate Company,,0,0,1,1,89686
Furnished Apartment For Rent,750.0,186,2,2.0,"Empire Wings, Erbil",For Rent,rent,1,0,0,0,0,monthly,1,0,0.0,1,On Target Real Estate Company,(Monthly),0,0,1,0,89685
Modern Apartment in Erbil,300.0,73,1,1.0,"Life Towers, Erbil",For Rent,rent,0,0,0,0,0,monthly,1,0,0.0,1,Zahrat AlMadain Company,(Monthly),0,0,1,0,76067
Spacious Family Home in Dream City,400000.0,250,5,4.0,"Dream City, Erbil",For Sale,sale,0,0,1,0,0,,0,0,0.0,1,Lata Domus,(Negotiable),0,0,1,0,80852
Furnished Apartment For Rent,450.0,63,0,1.0,"Empire Wings, Erbil",For Rent,rent,1,0,0,0,0,monthly,1,0,0.0,1,MIRAN Real Estate,(Monthly),0,0,1,0,89684
VIP Apartment,850.0,130,2,2.0,"Empire Pearl Towers, Erbil",For Rent,rent,0,0,0,0,0,monthly,1,0,0.0,1,Muhamad Noor Real Estate Company,(Monthly),0,0,1,0,89679
Spacious Apartment with Great View,450.0,86,1,1.0,"White Towers, Erbil",For Rent,rent,0,0,0,0,0,monthly,1,0,0.0,1,MIRAN Real Estate,(Monthly),0,0,1,0,86977
Spacious 4-Bedroom House in Erbil,135000.0,200,4,3.0,"Shari Mamostayan, Erbil",For Sale,sale,0,0,0,0,0,,0,0,0.0,1,Sakan Real Estate Company,,0,0,1,0,77333
House Opposite Garden,300000.0,276,4,4.0,"Aram Village 2, Erbil",For Sale,sale,0,0,1,0,0,,0,0,0.0,1,Lata Domus,(Negotiable),0,1,0,0,75562
Duplex Apartment in Tulip Towers,286491.0,198,2,2.0,"Tulip Towers, Erbil",For Sale,sale,0,0,0,0,0,,0,0,0.25,1,Tulip Towers Project,(Down payment),0,1,0,0,87496
Spacious Apartment with Stunning Views,125250.0,167,2,2.0,"Vana Towers, Erbil",For Sale,sale,0,0,0,0,0,,0,0,0.25,1,Vana Towers Project,(Down payment),0,1,0,0,82687
Apartment in Installment,93090.0,87,1,1.0,"English Tower, Erbil",For Sale,sale,0,0,0,0,0,,0,0,0.2,1,English Tower by King Inssat,(Down payment),0,1,0,0,71888
Spacious 1BR Apartment,77500.0,101,1,1.0,"Alaska Towers, Erbil",For Sale,sale,0,0,0,0,0,,0,0,0.1587,1,Alaska Towers Project,(Down payment),0,1,0,1,75617
Apartment (320m²),300800.0,320,4,4.0,"London Towers, Erbil",For Sale,sale,0,0,0,0,0,,0,0,0.25,1,London Towers Project,(Down payment),0,1,0,0,66270
Spacious Apartment in Cavalli Tower,1300.0,238,4,3.0,"Cavalli Tower, Erbil",For Rent,rent,0,0,0,0,0,monthly,1,0,0.0,1,Shahan Company,(Monthly),0,0,1,0,88520
"Building B, 10th Floor",49842.0,64,1,1.0,"Qaiwan Mirador, Erbil",For Sale,sale,0,0,0,0,0,,0,0,0.4,1,Qaiwan Group Company,(Down + Second payment),0,1,0,1,67054
Modern Apartment with One Bedroom,43000.0,65,1,1.0,"Atlantic City, Erbil",For Sale,sale,0,0,0,0,0,,0,0,0.1395,1,The Atlantic,(Down payment),0,1,0,0,83918
Furnished House For Sale,220000.0,200,4,3.0,"32 Park (Sarbasti), Erbil",For Sale,sale,1,0,1,0,0,,0,0,0.0,1,Key Finder Real Estate Company,(Negotiable),0,0,1,1,79773
Elegant 1BR Apartment in empire pearl,600.0,97,1,1.0,"Empire Pearl Towers, Erbil",For Rent,rent,0,0,1,0,0,monthly,1,0,0.0,1,Muhamad Noor Real Estate Company,(Monthly),0,0,1,0,89678
Furnished Apartment For Rent,375.0,55,0,1.0,"Bakhtyary Twin Towers, Erbil",For Rent,rent,1,0,0,0,0,monthly,1,0,0.0,1,Dar Erbil Real Estate Company,(Monthly),0,0,1,0,89676
Cozy Erbil Apartment in Rami Towers,450.0,100,1,1.0,"Rami Towers, Erbil",For Rent,rent,0,0,0,0,0,monthly,1,0,0.0,1,Golden Properties Company,(Monthly),0,0,1,0,89675
Cozy 1-Bedroom Apartment with View,500.0,97,1,1.0,"Boulevard, Erbil",For Rent,rent,0,0,0,0,0,monthly,1,0,0.0,1,Golden Properties Company,(Monthly),0,0,1,0,89658
Modern House in Aram Village 2,1400.0,242,4,4.0,"Aram Village 2, Erbil",For Rent,rent,0,0,0,0,0,monthly,1,0,0.0,1,On Target Real Estate Company,(Monthly),0,0,1,0,89674
Two Floor House,142500.0,100,3,2.0,"Bakhtyari, Erbil",For Sale,sale,0,0,0,0,0,,0,0,0.0,1,Dar Erbil Real Estate Company,,0,0,1,0,89670
One Floor House,74000.0,125,2,1.0,"Farmanbaran, Erbil",For Sale,sale,0,0,1,0,0,,0,0,0.0,1,Bahar Real Estate Company,(Negotiable),0,0,1,0,89667
Apartment (1+1),350.0,78,1,1.0,"Bakhtyary Twin Towers, Erbil",For Rent,rent,0,0,0,0,0,monthly,1,0,0.0,1,Dar Erbil Real Estate Company,(Monthly),0,0,1,0,89668
Furnished Apartment in Empire Pearl Towers,650.0,130,2,2.0,"Empire Pearl Towers, Erbil",For Rent,rent,1,0,0,0,0,monthly,1,0,0.0,1,Adam Real Estate,(Monthly),0,0,1,0,89665
Sleek and Contemporary Apartment for Rent,350.0,78,1,1.0,"Bakhtyary Twin Towers, Erbil",For Rent,rent,0,0,0,0,0,monthly,1,0,0.0,1,Dar Erbil Real Estate Company,(Monthly),0,0,1,0,89666
Apartment in Cash,59500.0,120,2,2.0,"Lalav Sky View, Erbil",For Sale,sale,0,0,1,0,0,,0,0,0.0,1,MIRAN Real Estate,(Negotiable),0,1,0,0,89664
Modern Apartment,300.0,84,1,1.0,"Wavey Avenue, Erbil",For Rent,rent,0,0,0,0,0,monthly,1,0,0.0,1,MIRAN Real Estate,(Monthly),0,0,1,0,89663
Studio Apartment,250.0,67,0,1.0,"White Towers, Erbil",For Rent,rent,0,0,0,0,0,monthly,1,0,0.0,1,Million House Real Estate Company,(Monthly),0,0,1,0,89662
1 Bedroom Furnished Apartment for Rent,400.0,50,1,1.0,"Life Towers, Erbil",For Rent,rent,1,0,0,0,0,monthly,1,0,0.0,1,Zahrat AlMadain Company,(Monthly),0,0,1,0,89661
External View Apartment,350.0,88,1,1.0,"White Towers, Erbil",For Rent,rent,0,0,0,0,0,monthly,1,0,0.0,1,Million House Real Estate Company,(Monthly),0,0,1,0,89657
Cozy 2-Bedroom Apartment for Rent,400.0,102,2,2.0,"Qaiwan Mirador, Erbil",For Rent,rent,0,0,0,0,0,monthly,1,0,0.0,1,Baghy Shaqlawa Real Estate Company - Erbil,(Monthly),0,0,1,0,89651
Internal View Apartment,700.0,150,2,2.0,"Empire Square, Erbil",For Rent,rent,0,0,0,0,0,monthly,1,0,0.0,1,Million House Real Estate Company,(Monthly),0,0,1,0,89655
Modern Apartment with Stunning Views,600.0,100,1,2.0,"Sky Towers, Erbil",For Rent,rent,0,0,0,0,0,monthly,1,0,0.0,1,Sky Erbil Real Estate Compay,(Monthly),0,0,1,0,89654
Corner Commercial House,3000.0,700,0,,"Shorsh, Erbil",For Rent,rent,0,0,1,0,0,monthly,1,0,0.0,1,On Target Real Estate Company,(Monthly),0,0,1,0,89653
Furnished Apartment For Rent,500.0,84,1,1.0,"Wavey Avenue, Erbil",For Rent,rent,1,0,0,0,0,monthly,1,0,0.0,1,MIRAN Real Estate,(Monthly),0,0,1,0,79741
Spacious 4-Bedroom Farmhouse for Sale,135000.0,1750,4,2.0,"Galiawa, Erbil",For Sale,sale,0,0,1,0,0,,0,0,0.0,0,,(Negotiable),0,0,1,0,88894
Spacious 3-Bedroom Apartment in Qaiwan Mirador,600.0,160,3,2.0,"Qaiwan Mirador, Erbil",For Rent,rent,0,0,0,0,0,monthly,1,0,0.0,1,Baghy Shaqlawa Real Estate Company - Erbil,(Monthly),0,0,1,0,89650
"Large Shop in Erbil, Havalan",880000.0,412,0,,"Havalan, Erbil",For Sale,sale,0,0,1,0,0,,0,0,0.0,1,Omer Faqe Real Estate,(Negotiable),0,0,1,1,89649
Internal View Apartment,400.0,98,1,1.0,"Qaiwan Mirador, Erbil",For Rent,rent,0,0,0,0,0,monthly,1,0,0.0,1,Baghy Shaqlawa Real Estate Company - Erbil,(Monthly),0,0,1,0,89648
Furnished Apartment in Life Towers,550.0,116,3,2.0,"Life Towers, Erbil",For Rent,rent,1,0,0,0,0,monthly,1,0,0.0,1,Zahrat AlMadain Company,(Monthly),0,0,1,0,89646
External View Apartment,400.0,87,1,1.0,"Wavey Avenue, Erbil",For Rent,rent,0,0,0,0,0,monthly,1,0,0.0,1,MIRAN Real Estate,(Monthly),0,0,1,0,89645
Apartment (1+1),400.0,85,1,1.0,"Green World, Erbil",For Rent,rent,0,0,0,0,0,monthly,1,0,0.0,1,Al Kharita Real Estate Company,(Monthly),0,0,1,0,89644
Newly Listed Residential Plot,66000.0,300,0,,"Baghlumnara, Erbil",For Sale,sale,0,0,0,0,0,,0,0,0.0,1,Baghi Haji Pusho,,0,0,1,0,89643
Modern Apartment for Rent,500.0,81,1,1.0,"Bakhtyary Twin Towers, Erbil",For Rent,rent,0,0,0,0,0,monthly,1,0,0.0,1,Key Finder Real Estate Company,(Monthly),0,0,1,1,89642
Spacious apartment with park view,140000.0,135,2,2.0,"Park View, Erbil",For Sale,sale,0,0,1,0,0,,0,0,0.0,1,Divine Real Estate Company,(Negotiable),0,0,1,0,89640
3 Bedroom Apartment in Rasan Towers,95000.0,190,3,2.0,"Rasan Towers, Erbil",For Sale,sale,0,0,0,0,0,,0,0,0.0,1,Sakan Real Estate Company,,0,0,1,0,89639
Spacious Duplex in Tulip Towers,279299.0,193,2,2.0,"Tulip Towers, Erbil",For Sale,sale,0,0,0,0,0,,0,0,0.25,1,Tulip Towers Project,(Down payment),0,1,0,0,87436
Prime Living Space in Vana Towers,125250.0,167,2,2.0,"Vana Towers, Erbil",For Sale,sale,0,0,0,0,0,,0,0,0.25,1,Vana Towers Project,(Down payment),0,1,0,0,82689
Furnished Apartment For Rent,550.0,59,0,1.0,"Cavalli Tower, Erbil",For Rent,rent,1,0,0,0,0,monthly,1,0,0.0,1,Shahan Company,(Monthly),0,0,1,0,87900
Modern Apartment in Alaska Towers,128860.0,167,2,2.0,"Alaska Towers, Erbil",For Sale,sale,0,0,0,0,0,,0,0,0.1032,1,Alaska Towers Project,(Down payment),0,1,0,1,76150
Modern Furnished Apartment in Erbil,350.0,41,0,1.0,"Wavey Avenue, Erbil",For Rent,rent,1,0,0,0,0,monthly,1,0,0.0,1,Remal Real Estate Company,(Monthly),0,0,1,0,89617
Apartment (293m²),275420.0,293,4,4.0,"London Towers, Erbil",For Sale,sale,0,0,0,0,0,,0,0,0.25,1,London Towers Project,(Down payment),0,1,0,0,66138
Cozy 1 Bedroom Apartment in Erbil,57400.0,72,1,1.0,"Qaiwan Mirador, Erbil",For Sale,sale,0,0,0,0,0,,0,0,0.18,1,Qaiwan Group Company,(Down payment),0,1,0,1,68341
Cozy Apartment for Sale in Erbil,47000.0,71,1,1.0,"Atlantic City, Erbil",For Sale,sale,0,1,0,0,0,,0,0,0.1489,1,The Atlantic,(Down payment),0,0,0,0,84900
Modern 2 Bedroom Apartment in English Tower,143380.0,134,2,2.0,"English Tower, Erbil",For Sale,sale,0,0,0,0,0,,0,0,0.2,1,English Tower by King Inssat,(Down payment),0,1,0,0,71742
Apartment (2+1),600.0,162,2,2.0,"Green World, Erbil",For Rent,rent,0,0,1,0,0,monthly,1,0,0.0,1,Genova Real Estate Company,(Monthly),0,0,1,0,89634
Quick Sale,275000.0,240,4,3.0,"Mass City, Erbil",For Sale,sale,0,0,1,0,0,,0,0,0.0,1,Prop House Real Estate Company,(Negotiable),0,0,1,0,89632
2 Bed Apartment in White Towers,450.0,134,2,2.0,"White Towers, Erbil",For Rent,rent,0,0,0,0,0,monthly,1,0,0.0,1,MIRAN Real Estate,(Monthly),0,0,1,0,89631
Modern 2 Bed Apartment,500.0,138,2,2.0,"White Towers, Erbil",For Rent,rent,0,0,1,0,0,monthly,1,0,0.0,1,MIRAN Real Estate,(Monthly),0,0,1,0,89630
Spacious House For Rent near 100m street,800.0,250,5,4.0,"32 Park (Sarbasti), Erbil",For Rent,rent,0,0,0,0,0,monthly,1,0,0.0,1,Remal Real Estate Company,(Monthly),0,0,1,0,89628
Spacious house in Sarbasti for rent,700.0,250,5,4.0,"32 Park (Sarbasti), Erbil",For Rent,rent,0,0,0,0,0,monthly,1,0,0.0,1,Remal Real Estate Company,(Monthly),0,0,1,0,89627
New House,240000.0,200,4,4.0,"32 Park (Sarbasti), Erbil",For Sale,sale,0,0,1,0,0,,0,0,0.0,1,Remal Real Estate Company,(Negotiable),0,0,1,0,89626
Bright and airy apartment for Rent,350.0,73,1,1.0,"Life Towers, Erbil",For Rent,rent,0,0,0,0,0,monthly,1,0,0.0,1,Sakan Real Estate Company,(Monthly),0,0,1,0,89625
Furnished Apartment For Rent,400.0,87,1,1.0,"Life Towers, Erbil",For Rent,rent,1,0,0,0,0,monthly,1,0,0.0,1,Sakan Real Estate Company,(Monthly),0,0,1,0,89624
Modern Office Rental in Erbil,700.0,123,0,1.0,"Empire Business Towers, Erbil",For Rent,rent,0,0,0,0,0,monthly,1,0,0.0,1,Lata Domus,(Monthly),0,0,1,0,88979
Spacious house in Sarbasti with 200m²,270000.0,200,4,3.0,"32 Park (Sarbasti), Erbil",For Sale,sale,0,0,0,0,0,,0,0,0.0,1,Genova Real Estate Company,,0,0,1,0,89622
3-Bedroom House with Modern Features,115000.0,100,3,2.0,"Rasty (Adala), Erbil",For Sale,sale,0,0,1,0,0,,0,0,0.0,1,Sirius Real Estate Company,(Negotiable),0,0,1,0,89621
Chic Apartment in Prime Location,450.0,50,0,1.0,"Empire Pearl Towers, Erbil",For Rent,rent,0,0,0,0,0,monthly,1,0,0.0,1,Baghy Khoshnawaty Real Estate co.,(Monthly),0,0,1,0,84051
Spacious Apartment in Cavalli Tower,1100.0,172,3,3.0,"Cavalli Tower, Erbil",For Rent,rent,0,0,0,0,0,monthly,1,0,0.0,1,Shahan Company,(Monthly),0,0,1,0,83049
Modern Apartment with Stunning Views,600.0,99,1,1.0,"Cavalli Tower, Erbil",For Rent,rent,0,0,0,0,0,monthly,1,0,0.0,1,Upland Real Estate Company,(Monthly),0,0,1,0,89620
Modern 2-Bed Apartment in Empire Wings,1100.0,168,2,2.0,"Empire Wings, Erbil",For Rent,rent,0,0,0,0,0,monthly,1,0,0.0,1,Baghy Khoshnawaty Real Estate co.,(Monthly),0,0,1,0,80180
Furnished 1BR Apartment,800.0,99,1,1.0,"Cavalli Tower, Erbil",For Rent,rent,1,0,0,0,0,monthly,1,0,0.0,1,Shahan Company,(Monthly),0,0,1,0,89618
Cozy Apartment in Rami Towers,500.0,80,0,1.0,"Rami Towers, Erbil",For Rent,rent,0,0,0,0,0,monthly,1,0,0.0,1,Jamana Real Estate Company,(Monthly),0,0,1,0,89616
Studio Apartment,500.0,63,0,1.0,"Empire Wings, Erbil",For Rent,rent,0,0,0,0,0,monthly,1,0,0.0,1,Baghy Khoshnawaty Real Estate co.,(Monthly),0,0,1,0,69839
Spacious Family Home in Slava City,225000.0,350,4,4.0,"Slava City 2, Erbil",For Sale,sale,0,0,1,0,0,,0,0,0.0,1,Sakan Real Estate Company,(Negotiable),0,0,1,0,89615
Spacious House in English Village,1400.0,324,5,4.0,"English Village, Erbil",For Rent,rent,0,0,0,0,0,monthly,1,0,0.0,1,Dar Erbil Real Estate Company,(Monthly),0,0,1,0,89614
Furnished Apartment For Rent,600.0,97,1,1.0,"Boulevard, Erbil",For Rent,rent,1,0,1,0,0,monthly,1,0,0.0,1,Newan Real Estate Company,(Monthly),0,0,1,0,88170
Commercial House (240m²),1400.0,240,4,4.0,"Aram village, Erbil",For Rent,rent,0,0,1,0,0,monthly,1,0,0.0,1,Lata Domus,(Monthly),0,0,1,0,89611
Modern Furnished Apartment in Life Towers,425.0,87,1,1.0,"Life Towers, Erbil",For Rent,rent,1,0,0,0,0,monthly,1,0,0.0,1,Sakan Real Estate Company,(Monthly),0,0,1,1,48272
Apartment (1+1),62500.0,91,1,2.0,"Unique Towers, Erbil",For Sale,sale,0,0,1,0,0,,0,0,0.0,1,Genova Real Estate Company,(Negotiable),0,1,0,0,89610
Luxury Apartment,700.0,97,1,1.0,"Boulevard, Erbil",For Rent,rent,0,0,0,0,0,monthly,1,0,0.0,1,Golden Properties Company,(Monthly),0,0,1,0,89523
Furnished Apartment For Sale,70000.0,100,3,2.0,"Atlantic City, Erbil",For Sale,sale,1,0,0,0,0,,0,0,0.0,1,Baghy Shaqlawa Real Estate Company - Erbil,,0,0,1,0,89607
Elegant 1+1 Apartment in Queen Tower,74500.0,83,1,1.0,"Queen Tower, Erbil",For Sale,sale,0,0,1,0,0,,0,0,0.0,1,Shkoy Sha Real Estate Company,(Negotiable),0,0,1,0,89605
Modern Apartment in Rami Towers,77000.0,100,1,1.0,"Rami Towers, Erbil",For Sale,sale,0,0,1,0,0,,0,0,0.0,1,Taj Almustaqbal Real Estate Company,(Negotiable),0,0,1,0,89604
Plot with 300m² in Erbil,65000.0,300,0,,"Baghlumnara, Erbil",For Sale,sale,0,0,0,0,0,,0,0,0.0,1,Baghi Haji Pusho,,0,0,0,0,89603
Apartment in Installment,118700.0,113,1,2.0,"Tulip Towers, Erbil",For Sale,sale,0,0,0,0,0,,0,0,0.2502,1,Grand View Real Estate Company,(Down payment),0,1,0,0,89602
Furnished Apartment For Rent,600.0,105,1,1.0,"Rami Towers, Erbil",For Rent,rent,1,0,1,0,0,monthly,1,0,0.0,1,Prop House Real Estate Company,(Monthly),0,0,1,0,89601
One Floor House,36000.0,95,1,1.0,"Shaways, Erbil",For Sale,sale,0,0,0,0,0,,0,0,0.0,1,Sakan Real Estate Company,,0,0,1,0,77300
Spacious Apartment with 4 Bedrooms,340000.0,298,4,3.0,"Boulevard, Erbil",For Sale,sale,0,0,0,0,0,,0,0,0.0,1,Golden Properties Company,,0,0,1,0,89608
Elegant 5-Bedroom House in Erbil,195000.0,174,5,5.0,"Runaki, Erbil",For Sale,sale,0,0,1,0,0,,0,0,0.0,1,Sirius Real Estate Company,(Negotiable),0,0,1,0,89600
2 Bedroom Apartment in Erbil,50000.0,94,2,1.0,"Central Park, Erbil",For Sale,sale,0,0,1,0,0,,0,0,0.0,1,Dyar Real Estate Company,(Negotiable),0,1,0,0,89599
Vast Farm on Pirmam Road,330000.0,3500,0,,"Pirmam Road, Erbil",For Sale,sale,0,0,0,0,0,,0,0,0.0,1,Million House Real Estate Company,,0,0,1,1,88646
Modern 2 Bedroom Apartment in Empire Wings,800.0,194,2,2.0,"Empire Wings, Erbil",For Rent,rent,0,0,0,0,0,monthly,1,0,0.0,1,Million House Real Estate Company,(Monthly),0,0,1,0,89596
Family-Friendly 3-Bed Apartment,132500.0,175,3,2.0,"Empire Royal Apartment, Erbil",For Sale,sale,0,0,0,0,0,,0,0,0.0,1,Dar Erbil Real Estate Company,,0,0,1,0,89595
Two Offices for Sale in Erbil,160000.0,130,0,,"Newroz Tower, Erbil",For Sale,sale,0,0,0,0,0,,0,0,0.0,1,Jamana Real Estate Company,,0,0,1,0,89594
Furnished Tower Apartment in Erbil,800.0,99,1,1.0,"Cavalli Tower, Erbil",For Rent,rent,1,0,0,0,0,monthly,1,0,0.0,1,Shahan Company,(Monthly),0,0,1,0,89597
